"","Bx","By","Bz"
"259",3.58,-0.62,1.25
"260",3.68,-0.69,1.15
"261",2.77,0.59,1.34
"262",3.33,-0.53,0.78
"263",4.23,-1.26,1.95
"264",4.2,-1.5,1.55
"265",4.04,-0.86,1.64
"266",4.13,-1.19,1.87
"267",4.01,-1.22,1.62
"268",3.18,-1.89,2.18
"269",3.39,-1.6,1.33
"270",3.8,-1.8,1.52
"271",4.07,-2.03,1.26
"272",4.39,-2.19,0.61
"273",3.74,-2.32,0.77
"274",3.98,-2.38,0.38
"275",3.48,-1.58,1.54
"276",3.79,-1.57,1.31
"277",3.87,-1.23,1.19
"278",3.66,-0.91,1.54
"279",3.76,-1.16,1.19
"280",4.19,-1.44,1.23
"281",3.46,-1.02,1.56
"282",3.76,-0.71,1.3
"283",4.79,-1.49,0.71
"284",3.81,-1.58,1.1
"285",5.11,-2.2,-0.08
"286",4.98,-2.24,0.03
"287",4.88,-2.14,-0.02
"288",4.36,-1.91,0.88
"289",4.81,-2.08,0.62
"290",4.47,-1.76,1.13
"291",4.33,-2.08,0.78
"292",4.8,-1.99,0.63
"293",4.38,-1.85,1.11
"294",4.55,-1.81,1.01
"295",3.89,-1.61,1.29
"296",4.25,-1.66,0.84
"297",4.56,-2.15,0.8
"298",4.34,-1.68,1.11
"299",3.79,-1.65,1.36
"300",3.51,-1.27,1.85
"301",3.71,-1.48,1.39
"302",3.24,-1.46,1.43
"303",3.44,-1.2,1.87
"304",3.77,-1.45,1.28
"305",3.35,-1.23,1.4
"306",4.12,-1.22,2.18
"307",3.83,-1.26,1.64
"308",3.41,-1.27,1.44
"309",4.30081506932507,-1.67384900535023,1.67692632324445
"310",3.89,-1.49,1.34
"311",3.51,-1.19,1.59
"312",4.43,-1.56,2.03
"313",3.99,-1.42,1.17
"314",3.66,-1.12,1.9
"315",3.87,-1.44,1.78
"316",3.21,-1.42,1.52
"317",3.66,-1.02,2.15
"318",3.48,-1.13,1.9
"319",3.56,-0.79,2.27
"320",3.57,-0.81,2.2
"321",3.4,-1.26,1.27
"322",3.54,-0.89,1.92
"323",4.12,-1.42,2.06
"324",4.04,-1.3,2.02
"325",4.05,-1.43,1.92
"326",3.97,-1.46,1.84
"327",4.28,-1.58,2.09
"328",4.11,-1.64,1.73
"329",3.36,-1.38,1.21
"330",3.43,-1.48,1.04
"331",3.57,-1.54,1.05
"332",3.59,-1.49,1.1
"333",3.57,-1.57,1.17
"334",3.6,-1.57,1.17
"335",3.57,-1.58,1.12
"336",3.42133357741559,-1.54744221935855,1.72491431666308
"337",3.59,-1.54,1.09
"338",3.63,-1.33,1.17
"339",3.38,-1.73,1
"340",3.48,-1.53,1.06
"341",3.48,-1.53,1.06
"342",3.55,-1.21,1.22
"343",3.61,-1.43,1.13
"344",3.7,-1.6,1.1
"345",3.75,-1.52,1.24
"346",3.75,-1.52,1.24
"347",3.78,-1.53,1.15
"348",3.96171765477002,-1.01629181855441,1.18234162616212
"349",3.77,-1.56,1.14
"350",3.73,-1.58,1.2
"351",3.66966342300611,-1.46860158194606,0.783431995031616
"352",3.75,-1.53,1.13
"353",3.81,-1.52,1.01
"354",3.84,-1.5,1.02
"355",3.65,-1.53,1.3
"356",3.6,-1.59,1.43
"357",3.63,-1.64,1.42
"358",3.63,-1.65,1.38
"359",3.67,-1.65,1.28
"360",3.41017979584822,-1.80966141869678,1.65305141950153
"361",3.62,-1.66,1.29
"362",3.57,-1.81,1.76
"363",3.57,-1.8,1.76
"364",3.57,-1.8,1.76
"365",3.65,-1.83,1.67
"366",3.66,-1.87,1.61
"367",3.67,-1.91,1.51
"368",3.63,-1.99,0.99
"369",3.62,-2.02,0.91
"370",3.47,-2.09,0.66
"371",3.35,-2.38,0.42
"372",3.45,-2.17,0.75
"373",3.27,-2.45,0.38
"374",3.04,-2.92,-0.4
"375",3.04,-2.93,-0.31
"376",3.31,-2.58,0.11
"377",2.99,-2.89,-0.53
"378",3.05,-2.76,-0.18
"379",3.01,-2.8,-0.17
"380",2.99,-2.74,-0.26
"381",3.01,-2.78,-0.16
"382",3.03,-2.71,-0.04
"383",2.5,-2.94,-1.55
"384",2.63,-2.78,-1.41
